1,4112
2,4557
3,110
5,4076
6,1182
6,1047
7,599
9,3427
9,1109
9,2649
10,814
10,181
10,1191
10,4632
12,198
16,2073
17,2374
19,4616
20,4359
20,4023
23,2681
25,530
26,2222
27,1489
27,981
29,3029
31,3198
31,3798
31,2330
31,3816
32,1692
35,2442
35,1951
35,585
38,4730
38,2286
39,3337
40,3631
40,2247
41,1916
41,328
41,3892
41,3706
42,4534
44,2540
44,1737
44,2979
45,3100
45,4799
48,2602
50,3306
52,2518
52,2391
52,78
52,3527
55,1092
55,518
55,4457
55,4529
55,390
55,318
57,613
60,4037
60,642
68,3904
68,206
68,1730
73,2482
77,2930
78,4946
81,2430
81,3170
81,258
81,3605
81,4729
81,4015
81,438
81,3249
84,4327
85,4535
86,4889
86,412
87,4507
88,1565
89,1244
89,4388
89,4489
89,1324
91,4076
92,3180
95,493
95,1928
98,2355
98,639
98,302
98,4983
98,3916
98,2169
98,3828
99,3029
102,4644
102,3923
102,273
102,4403
102,3374
108,4940
110,2598
111,4259
117,460
117,4944
117,191
120,4222
126,802
126,1089
126,3252
128,1426
128,1364
129,4431
129,3074
130,4760
130,4179
130,3409
130,3081
132,1437
133,1243
133,4983
134,876
135,424
137,1262
137,2307
137,3471
137,1535
137,1910
137,1716
144,2266
146,2300
146,1951
149,936
149,1504
151,675
153,3951
154,4433
154,4571
155,3481
157,4022
158,1465
159,1963
159,2851
159,4689
160,1235
161,3496
161,2295
161,1109
161,3420
163,3026
163,2811
163,2818
164,4350
164,3491
164,2054
164,1641
165,1661
166,302
167,2102
167,2108
171,1917
171,3259
173,2274
174,4094
174,3257
178,1261
181,2168
181,1259
181,2989
181,1984
184,2456
184,4790
185,1893
187,2689
187,981
187,574
189,1604
189,4802
189,873
189,3713
189,4309
190,3909
191,1315
191,3994
191,3498
192,2652
192,1134
192,1554
192,1026
193,4169
198,1747
198,302
198,4587
198,4141
200,3596
201,2749
201,4594
201,4741
203,2560
203,3825
204,3018
206,3208
206,3803
211,2585
211,334
212,4847
214,4619
214,3854
214,3893
214,1675
214,3402
215,249
217,3172
217,2796
217,4132
217,2551
218,4618
218,4963
218,3488
218,3776
218,658
219,2511
219,2443
220,4125
220,3899
221,3533
223,2700
225,3525
225,3771
227,297
234,1001
234,281
234,1045
236,1489
236,326
236,1925
237,484
237,3744
237,3362
