2,52
2,3
2,33
2,55
3,141
3,48
4,106
5,103
6,61
6,86
7,178
7,58
7,122
9,183
9,50
11,66
11,75
11,49
11,185
11,180
11,100
11,106
12,121
13,75
15,61
16,156
19,81
19,169
21,198
22,75
23,181
23,160
27,83
28,58
30,167
32,189
33,132
35,182
35,83
35,180
39,182
40,60
44,90
44,118
46,83
46,171
47,176
47,200
47,102
47,133
47,136
49,182
49,151
52,198
55,173
55,153
57,90
57,178
57,168
60,71
60,80
61,165
61,140
62,145
62,163
63,68
64,156
66,189
66,156
68,113
72,171
72,179
72,136
75,124
76,86
77,145
77,171
77,189
78,145
78,128
78,199
83,115
86,167
87,90
94,158
100,179
102,104
104,128
105,163
108,142
116,118
119,123
121,184
123,182
126,135
128,185
129,163
129,161
131,182
134,171
135,195
140,191
140,179
142,182
144,151
148,163
148,186
150,183
154,190
155,189
163,168
165,181
167,173
167,175
171,186
172,182
173,191
182,191
186,191
